tarjeta;es;Fecha;Hora;Tipo
PF1952;E;04/01/2020;0735;;
PF6097;E;04/01/2020;0740;;
PF0208;E;04/01/2020;0823;;
PF6097;S;04/01/2020;1614;;
PF0208;S;04/01/2020;1615;;
PF1952;S;04/01/2020;1637;;
PF0540;E;02/01/2020;0659;;
PF0548;E;02/01/2020;0711;;
PF0552;E;02/01/2020;0711;;
PF6528;E;02/01/2020;0712;;
PF0554;E;02/01/2020;0714;;
PF1559;E;02/01/2020;0715;;
PF0579;E;02/01/2020;0715;;
PF0536;E;02/01/2020;0716;;
PF0535;E;02/01/2020;0716;;
PF2901;E;02/01/2020;0717;;
PF4848;E;02/01/2020;0717;;
PF5059;E;02/01/2020;0718;;
PF2952;E;02/01/2020;0718;;
PF5860;E;02/01/2020;0719;;
PF0580;E;02/01/2020;0719;;
PF0532;E;02/01/2020;0719;;
PF2919;E;02/01/2020;0721;;
PF2940;E;02/01/2020;0722;;
PF0588;E;02/01/2020;0722;;
PF1551;E;02/01/2020;0724;;
PF0581;E;02/01/2020;0724;;
PF0537;E;02/01/2020;0725;;
PF5058;E;02/01/2020;0725;;
PF0553;E;02/01/2020;0725;;
PF1897;E;02/01/2020;0726;;
PF1556;E;02/01/2020;0726;;
PF4218;E;02/01/2020;0726;;
PF3686;E;02/01/2020;0727;;
PF4019;E;02/01/2020;0727;;
PF0563;E;02/01/2020;0727;;
PF4099;E;02/01/2020;0727;;
PF1556;E;02/01/2020;0727;;
PF0537;A;02/01/2020;1238;;
PF0537;A;02/01/2020;1238;;
PF6528;A;02/01/2020;1238;;
PF6528;A;02/01/2020;1238;;
PF1559;A;02/01/2020;1238;;
PF2901;A;02/01/2020;1304;;
PF1559;A;02/01/2020;1304;;
PF4019;A;02/01/2020;1304;;
PF4848;A;02/01/2020;1304;;
PF1556;A;02/01/2020;1304;;
PF1551;A;02/01/2020;1305;;
PF0552;A;02/01/2020;1305;;
PF4099;A;02/01/2020;1305;;
PF0548;A;02/01/2020;1305;;
PF0536;A;02/01/2020;1400;;
PF0532;S;02/01/2020;1600;;
PF6528;S;02/01/2020;1600;;
PF0537;S;02/01/2020;1600;;
PF2940;S;02/01/2020;1600;;
PF0535;S;02/01/2020;1601;;
PF0535;S;02/01/2020;1601;;
PF0578;S;02/01/2020;1602;;
PF5860;S;02/01/2020;1602;;
PF0580;S;02/01/2020;1606;;
PF0581;S;02/01/2020;1606;;
PF0530;S;02/01/2020;1607;;
PF0554;S;02/01/2020;1607;;
PF0553;S;02/01/2020;1607;;
PF2919;S;02/01/2020;1608;;
PF4099;S;02/01/2020;1608;;
PF0579;S;02/01/2020;1608;;
PF5058;S;02/01/2020;1609;;
PF1897;S;02/01/2020;1609;;
PF0563;S;02/01/2020;1610;;
PF3686;S;02/01/2020;1610;;
PF4019;S;02/01/2020;1610;;
PF1898;S;02/01/2020;1610;;
PF0540;S;02/01/2020;1611;;
PF0547;S;02/01/2020;1611;;
PF2901;S;02/01/2020;1613;;
PF4848;S;02/01/2020;1613;;
PF1551;S;02/01/2020;1616;;
PF1556;S;02/01/2020;1616;;
PF0588;S;02/01/2020;1617;;
PF4218;S;02/01/2020;1617;;
PF4219;S;02/01/2020;1617;;
PF2952;S;02/01/2020;1620;;
PF0548;S;02/01/2020;1624;;
PF0552;S;02/01/2020;1710;;
PF5059;S;02/01/2020;1710;;
PF1559;S;02/01/2020;1744;;
PF2919;A;03/01/2020;1210;;
PF0535;A;03/01/2020;1211;;
PF1897;A;03/01/2020;1213;;
PF0580;A;03/01/2020;1213;;
PF0580;A;03/01/2020;1213;;
PF0547;A;03/01/2020;1213;;
PF2920;A;03/01/2020;1213;;
PF1559;A;03/01/2020;1214;;
PF2952;A;03/01/2020;1214;;
PF0530;A;03/01/2020;1215;;
PF5860;A;03/01/2020;1216;;
PF0532;A;03/01/2020;1217;;
PF4218;A;03/01/2020;1218;;
PF0578;A;03/01/2020;1221;;
PF0588;A;03/01/2020;1221;;
PF0581;A;03/01/2020;1228;;
PF0553;A;03/01/2020;1228;;
PF0554;A;03/01/2020;1228;;
PF1898;A;03/01/2020;1229;;
PF0537;A;03/01/2020;1235;;
PF0537;A;03/01/2020;1235;;
PF6528;A;03/01/2020;1235;;
PF6528;A;03/01/2020;1235;;
PF4019;A;03/01/2020;1235;;
PF2901;A;03/01/2020;1236;;
PF4099;A;03/01/2020;1238;;
PF0552;A;03/01/2020;1238;;
PF0548;A;03/01/2020;1238;;
PF4848;A;03/01/2020;1239;;
PF4218;A;03/01/2020;1239;;
PF2952;A;03/01/2020;1239;;
PF1556;A;03/01/2020;1241;;
PF1559;A;03/01/2020;1241;;
PF2919;A;03/01/2020;1241;;
PF2940;A;03/01/2020;1241;;
PF2920;A;03/01/2020;1241;;
PF0547;A;03/01/2020;1241;;
PF2901;A;03/01/2020;1305;;
PF4848;A;03/01/2020;1305;;
PF4019;A;03/01/2020;1305;;
PF1556;A;03/01/2020;1305;;
PF0548;A;03/01/2020;1305;;
PF4099;A;03/01/2020;1305;;
PF0552;A;03/01/2020;1305;;
PF0579;A;03/01/2020;1426;;
PF0553;S;03/01/2020;1614;;
PF0581;S;03/01/2020;1614;;
PF1559;S;03/01/2020;1615;;
