tarjeta;es;Fecha;Hora;Tipo
PU0607;A;06/02/2020;1258;;
PU0680;A;06/02/2020;1258;;
PU0549;A;06/02/2020;1258;;
PU0894;A;06/02/2020;1259;;
PU0536;A;06/02/2020;1259;;
PU0536;A;06/02/2020;1259;;
PU0608;A;06/02/2020;1259;;
PU0552;A;06/02/2020;1259;;
PU0644;A;06/02/2020;1300;;
PU0717;A;06/02/2020;1300;;
PU0548;A;06/02/2020;1300;;
PU0567;A;06/02/2020;1301;;
PU0564;A;06/02/2020;1301;;
PU0681;A;06/02/2020;1301;;
PU0042;A;06/02/2020;1307;;
PU0028;A;06/02/2020;1307;;
PU0103;A;06/02/2020;1320;;
PU0341;A;06/02/2020;1322;;
PU0753;A;06/02/2020;1324;;
PU0903;A;06/02/2020;1200;;
PU0565;A;06/02/2020;1200;;
PU0563;A;06/02/2020;1200;;
PU0545;A;06/02/2020;1200;;
PU0893;A;06/02/2020;1200;;
PU0553;A;06/02/2020;1200;;
PU0559;A;06/02/2020;1200;;
PU0570;A;06/02/2020;1200;;
PU0542;A;06/02/2020;1200;;
PU0543;A;06/02/2020;1200;;
PU0561;A;06/02/2020;1200;;
PU0526;A;06/02/2020;1200;;
PU0544;A;06/02/2020;1200;;
PU0540;A;06/02/2020;1200;;
PU0557;A;06/02/2020;1200;;
PU0558;A;06/02/2020;1200;;
PU0541;A;06/02/2020;1200;;
PU0569;A;06/02/2020;1200;;
PU0566;A;06/02/2020;1201;;
PU0008;A;06/02/2020;1200;;
PU0020;A;06/02/2020;1200;;
PU0098;A;06/02/2020;1200;;
PU0012;A;06/02/2020;1200;;
PU0044;A;06/02/2020;1201;;
PU0097;A;06/02/2020;1201;;
PU0049;A;06/02/2020;1201;;
PU0015;A;06/02/2020;1201;;
PU0042;A;06/02/2020;1330;;
PU0028;A;06/02/2020;1330;;
PU0568;S;06/02/2020;1600;;
PU0551;S;06/02/2020;1600;;
PU0550;S;06/02/2020;1600;;
PU0549;S;06/02/2020;1600;;
PU0548;S;06/02/2020;1600;;
PU0553;S;06/02/2020;1600;;
PU0559;S;06/02/2020;1600;;
PU0563;S;06/02/2020;1600;;
PU0893;S;06/02/2020;1600;;
PU0526;S;06/02/2020;1600;;
PU0644;S;06/02/2020;1600;;
PU0681;S;06/02/2020;1600;;
PU0557;S;06/02/2020;1600;;
PU0558;S;06/02/2020;1600;;
PU0522;S;06/02/2020;1600;;
PU0552;S;06/02/2020;1600;;
PU0564;S;06/02/2020;1600;;
PU0610;S;06/02/2020;1600;;
PU0567;S;06/02/2020;1600;;
PU0562;S;06/02/2020;1600;;
PU0565;S;06/02/2020;1601;;
PU0566;S;06/02/2020;1601;;
PU0561;S;06/02/2020;1601;;
PU0903;S;06/02/2020;1601;;
PU0545;S;06/02/2020;1601;;
PU0569;S;06/02/2020;1601;;
PU0540;S;06/02/2020;1602;;
PU0544;S;06/02/2020;1602;;
PU0541;S;06/02/2020;1602;;
PU0542;S;06/02/2020;1602;;
PU0570;S;06/02/2020;1602;;
PU0543;S;06/02/2020;1602;;
PU0536;S;06/02/2020;1604;;
PU0753;S;06/02/2020;1609;;
PU0609;S;06/02/2020;1704;;
PU0605;S;06/02/2020;1704;;
PU0607;S;06/02/2020;1714;;
PU0608;S;06/02/2020;1721;;
PU0894;S;06/02/2020;1759;;
PU0680;S;06/02/2020;1801;;
PU0717;S;06/02/2020;1832;;
PU0521;S;06/02/2020;2011;;
PU0560;S;06/02/2020;2011;;
PU0604;S;06/02/2020;2012;;
PU0555;S;06/02/2020;2013;;
PU0341;S;06/02/2020;1501;;
PU0021;S;06/02/2020;1601;;
PU0049;S;06/02/2020;1602;;
PU0008;S;06/02/2020;1602;;
PU0044;S;06/02/2020;1602;;
PU0019;S;06/02/2020;1602;;
PU0075;S;06/02/2020;1602;;
PU0012;S;06/02/2020;1604;;
PU0015;S;06/02/2020;1605;;
PU0005;S;06/02/2020;1605;;
PU0006;S;06/02/2020;1605;;
PU0097;S;06/02/2020;1605;;
PU0022;S;06/02/2020;1605;;
PU0859;S;06/02/2020;1606;;
PU0037;S;06/02/2020;1606;;
PU0031;S;06/02/2020;1607;;
PU0014;S;06/02/2020;1607;;
PU0032;S;06/02/2020;1607;;
PU0020;S;06/02/2020;1607;;
PU0103;S;06/02/2020;1607;;
PU0098;S;06/02/2020;1609;;
PU0039;S;06/02/2020;1611;;
PU0042;S;06/02/2020;1732;;
PU0028;S;06/02/2020;1738;;
PU0009;S;06/02/2020;1738;;
PU0048;S;06/02/2020;1738;;

